cf,FIPS,tc_dev,dev_tc,tc_pdev,pdev_tc,tc_net,tc_gain,tc_loss,tc_net verbiage ,WTTC_IMP,WTTC_PDEV,WTTC_loss
wash_24043,24043,113.2895,27.6044,170.1644,92.507,-163.3425,120.1114,283.4539,Net Loss,0.4058,0.1085,0.5143
fred_51069,51069,303.2902,31.1633,413.0178,60.6342,-624.5105,91.7975,716.308,Net Loss,0.2053,0.3059,0.5112
oran_51137,51137,72.3358,25.5053,266.2739,29.7957,-283.3087,55.301,338.6097,Net Loss,0.4438,0.0593,0.5031
pres_54077,54077,110.0894,36.5983,146.3039,43.0213,-176.7737,79.6196,256.3933,Net Loss,0.3494,0.1285,0.4779
mcke_42083,42083,243.5208,8.9742,319.7865,25.1885,-529.1446,34.1627,563.3073,Net Loss,0.4705,0.0057,0.4762
hope_51670,51670,9.6814,4.4979,3.2061,7.002,-1.3876,11.4999,12.8875,Net Loss,0.4381,0.0353,0.4734
broo_36007,36007,82.2381,44.4253,199.0731,152.3389,-84.547,196.7642,281.3112,Net Loss,0.1673,0.2807,0.448
tiog_42117,42117,198.9326,11.6791,244.9096,39.6318,-392.5313,51.3109,443.8422,Net Loss,0.3474,0.0445,0.3919
nort_42097,42097,251.4373,2.9342,576.0025,35.7898,-788.7158,38.724,827.4398,Net Loss,0.1291,0.233,0.3621
cort_36023,36023,33.6264,20.0068,90.6485,69.1465,-35.1216,89.1533,124.2749,Net Loss,0.0964,0.2535,0.3499
howa_24027,24027,475.8249,53.8022,540.6296,167.616,-795.0363,221.4182,1016.4545,Net Loss,0.1873,0.1482,0.3355
blai_42013,42013,173.8107,14.1086,682.4223,49.6613,-792.4631,63.7699,856.233,Net Loss,0.1535,0.1801,0.3336
port_51740,51740,13.1229,18.4757,11.9127,18.6099,12.05,37.0856,25.0356,Net Gain,0.3281,0.0002,0.3283
amel_51007,51007,49.3285,12.7041,242.6569,15.4684,-263.8129,28.1725,291.9854,Net Loss,0.1099,0.2125,0.3224
chen_36017,36017,44.6342,21.6142,101.3521,75.5668,-48.8053,97.181,145.9863,Net Loss,0.1651,0.1301,0.2952
bath_51017,51017,33.1434,1.5234,77.8303,2.4638,-106.9865,3.9872,110.9737,Net Loss,0.0574,0.2372,0.2946
mana_51683,51683,15.0804,4.7212,6.6883,12.3541,-4.6934,17.0753,21.7687,Net Loss,0.2859,0.0002,0.2861
hard_54031,54031,44.2026,2.118,316.0452,11.5129,-346.6169,13.6309,360.2478,Net Loss,0.0776,0.2011,0.2787
fult_42057,42057,80.6421,6.5026,155.4709,37.0613,-192.5491,43.5639,236.113,Net Loss,0.2657,0.0035,0.2692
colu_42037,42037,138.4099,2.3111,242.0717,29.0962,-349.0743,31.4073,380.4816,Net Loss,0.1453,0.1053,0.2506
nott_51135,51135,68.2769,13.6914,967.7585,12.612,-1009.732,26.3034,1036.0354,Net Loss,0.0832,0.1633,0.2465
mine_54057,54057,62.8084,17.5704,123.0894,40.3953,-127.9321,57.9657,185.8978,Net Loss,0.1651,0.0686,0.2337
garr_24023,24023,156.3378,12.2736,220.2426,25.6927,-338.6141,37.9663,376.5804,Net Loss,0.2299,0.0027,0.2326
camp_51031,51031,149.0995,38.6164,733.907,63.0331,-781.357,101.6495,883.0065,Net Loss,0.2094,0.0017,0.2111
yate_36123,36123,10.3663,9.4402,14.5071,40.5062,25.073,49.9464,24.8734,Net Gain,0.1038,0.0929,0.1967
pend_54071,54071,23.4436,3.1666,88.6779,5.8564,-103.0985,9.023,112.1215,Net Loss,0.041,0.1551,0.1961
sull_42113,42113,88.0228,2.547,88.3636,7.6889,-166.1505,10.2359,176.3864,Net Loss,0.1701,0.021,0.1911
tiog_36107,36107,37.5365,21.6498,61.0689,71.7129,-5.2427,93.3627,98.6054,Net Loss,0.1102,0.0744,0.1846
came_42023,42023,312.3517,0.932,194.6872,2.9969,-503.11,3.9289,507.0389,Net Loss,0.1396,0.0336,0.1732
warr_51187,51187,75.7741,17.6391,137.9037,41.8529,-154.1858,59.492,213.6778,Net Loss,0.105,0.0576,0.1626
bote_51023,51023,117.8325,8.1788,196.7068,13.6067,-292.7538,21.7855,314.5393,Net Loss,0.1092,0.0528,0.162
amhe_51009,51009,83.0237,30.0304,552.5096,42.4434,-563.0595,72.4738,635.5333,Net Loss,0.1263,0.0301,0.1564
alle_51005,51005,39.7991,3.6973,118.5207,6.676,-147.9465,10.3733,158.3198,Net Loss,0.0791,0.0771,0.1562
camb_42021,42021,571.442,16.7372,576.7912,72.1636,-1059.3324,88.9008,1148.2332,Net Loss,0.0803,0.0601,0.1404
cent_42027,42027,355.5352,20.1668,1411.3231,58.979,-1687.7125,79.1458,1766.8583,Net Loss,0.0982,0.0403,0.1385
madi_51113,51113,38.0852,10.0382,66.593,22.8378,-71.8022,32.876,104.6782,Net Loss,0.101,0.0242,0.1252
lanc_42071,42071,421.6039,42.8973,456.1783,242.3024,-592.5825,285.1997,877.7822,Net Loss,0.0934,0.0289,0.1223
miff_42087,42087,64.3709,7.5932,109.9978,30.4139,-136.3616,38.0071,174.3687,Net Loss,0.057,0.0467,0.1037
page_51139,51139,23.6425,17.6306,97.5976,30.2737,-73.3358,47.9043,121.2401,Net Loss,0,0.0927,0.0927
gree_51079,51079,64.1252,5.9728,65.6903,12.9426,-110.9001,18.9154,129.8155,Net Loss,0.0736,0.0042,0.0778
bedf_42009,42009,158.8161,12.6274,458.5619,57.4931,-547.2575,70.1205,617.378,Net Loss,0.0454,0.0279,0.0733
schu_36097,36097,22.8749,8.6824,47.3445,29.1751,-32.3619,37.8575,70.2194,Net Loss,0.0664,0.0064,0.0728
high_51091,51091,19.9601,1.093,31.204,1.2276,-48.8435,2.3206,51.1641,Net Loss,0.0403,0.024,0.0643
gile_51071,51071,29.7612,2.3671,178.3163,12.8372,-192.8732,15.2043,208.0775,Net Loss,0.0573,0,0.0573
crai_51045,51045,6.4107,1.5787,48.1025,5.1704,-47.7641,6.7491,54.5132,Net Loss,0.0205,0.0338,0.0543
char_51540,51540,31.5002,1.8377,47.3132,1.6616,-75.3141,3.4993,78.8134,Net Loss,0.0067,0.0442,0.0509
wash_11001,11001,38.289,102.3963,103.3913,47.0949,7.8109,149.4912,141.6803,Net Gain,0.0442,0,0.0442
mont_42093,42093,27.983,0.6671,71.4378,12.412,-86.3417,13.0791,99.4208,Net Loss,0.004,0.0361,0.0401
berk_54003,54003,145.6962,30.492,413.2247,71.7683,-456.6606,102.2603,558.9209,Net Loss,0.0318,0.0027,0.0345
rapp_51157,51157,16.6974,5.0684,50.9203,11.721,-50.8283,16.7894,67.6177,Net Loss,0.0326,0,0.0326
